salesId,dateTime,carPlate,custId,employeeId
A0081,2023-09-22T07:23:04Z,WUV345,C0026,E0011
A0082,2023-09-23T21:26:58Z,YBC456,C0008,E0005
A0083,2023-09-25T08:30:52Z,ZDE5675,C0070,E0015
A0084,2023-09-26T13:34:46Z,JKT567,C0054,E0001
A0085,2023-09-27T19:38:40Z,RQZ1230,C0060,E0013
A0086,2023-09-29T06:42:34Z,BNG789,C0020,E0002
A0087,2023-09-30T20:46:28Z,XYP4567,C0013,E0004
A0088,2023-10-02T07:50:22Z,MVC901,C0002,E0009
A0089,2023-10-03T12:54:16Z,LGH2345,C0057,E0012
A0090,2023-10-04T18:58:10Z,WFD678,C0044,E0006
A0091,2023-10-06T05:02:04Z,ZTR3456,C0022,E0014
A0092,2023-10-07T19:05:58Z,HJK1026,C0016,E0008
A0093,2023-10-09T06:09:52Z,NML5678,C0054,E0011
A0094,2023-10-10T11:13:46Z,CDE304,C0050,E0005
A0095,2023-10-11T17:17:40Z,VBN6789,C0026,E0015
A0096,2023-10-13T04:21:34Z,QWE405,C0009,E0001
A0097,2023-10-14T18:25:28Z,ASD1237,C0079,E0013
A0098,2023-10-16T12:00:21Z,YUI607,C0003,E0002
A0099,2023-10-20T13:14:15Z,OPR7890,C0058,E0003
A0100,2023-10-21T08:50:55Z,GFD908,C0020,E0010
